s12,s13,s23,u1,u2,u3,Q2,madgraph_azimuthal_average
6.38011780934434937e+04,2.20205726807478204e+05,9.11129200149694370e+04,-1.90103954899978504e+05,-1.19713006413688039e+05,-1.55046911269805947e+05,8.97440476675813261e+04,4.41645596716863346e-10
3.64745549762853479e+04,4.74665973871711059e+05,9.97868303198912909e+04,-6.11854406229963759e+05,-1.78158394745259371e+05,-1.40847186433565250e+05,3.19932628240900696e+05,2.50242867472246369e-11
1.61363447277318424e+05,1.77772919659556414e+05,3.65271994798594038e+05,-2.14709220613696030e+05,-3.79149952145231946e+05,-3.73503064504366776e+05,2.62953875527825963e+05,1.19073853051165179e-11
1.44750545740754984e+05,4.05121724329710589e+05,3.29919490843073872e+04,-5.77432374348828685e+05,-4.04496445108483313e+04,-1.44062980997522332e+05,1.79080780702426302e+05,4.11879899811363191e-11
2.79308731402416830e+05,1.60384319693224446e+05,2.26672729045931483e+05,-2.50378809667336463e+05,-3.87681451819680980e+05,-1.24905987640328618e+05,9.66004689857732446e+04,6.14846038518286352e-11
7.47901114740364865e+04,1.79399658872757718e+05,1.61395923387941439e+05,-6.43054829205216665e+04,-1.59271208692368993e+05,-4.48723010139987338e+05,2.56714008018142340e+05,2.45783707620748751e-10
7.92568996948264248e+04,2.65170708808006020e+05,4.09485711482652259e+04,-5.16046715583555866e+05,-1.05009940060919616e+05,-3.70964494708532729e+04,2.72776925464230939e+05,8.60353888806775051e-11
6.29482274510198476e+04,1.40515714449448336e+05,3.24028148189384839e+05,-2.75116094794850273e+05,-1.04881271139522112e+05,-5.10699094238379737e+05,3.63204370082898764e+05,2.14389480619536687e-11
1.08498765855823644e+05,9.17215445815960557e+04,4.21363841901667183e+05,-2.29364177605879057e+05,-3.07665218827048258e+05,-3.54897330628789088e+05,2.70342574722629623e+05,2.19936658807437454e-11
1.91926119044339925e+05,2.13470087079869118e+05,1.31670777400976309e+05,-8.91659816219251807e+04,-1.80074097721520724e+05,-4.78880844481310924e+05,2.11053940299571841e+05,2.36225249505165364e-10
2.24409049821650726e+05,9.86466480572303990e+04,2.41034549303315987e+05,-7.21289711691106495e+04,-4.45293739545724122e+05,-3.31918418017793680e+05,2.85250881550431310e+05,8.04998293108983710e-11
1.54500535031202249e+05,4.03766583036019001e+05,9.08167356062007020e+04,-1.69580533986218245e+05,-2.26446518370658800e+05,-5.20669357371084567e+05,2.67612556054539629e+05,3.00711244588290033e-11
2.12527946488772344e+05,3.05017782271571050e+05,1.00651126997114581e+05,-5.86925663085557171e+05,-1.62929607782645442e+05,-1.71892559527134435e+05,3.03550974637878884e+05,6.91112239936571919e-12
1.62243380046059145e+05,4.41300156435449433e+05,1.10907219037749106e+05,-7.20079094222794287e+05,-4.91401461031917279e+04,-1.99509638929482317e+05,2.54278123736210924e+05,1.10480061505220779e-11
3.99161779308389232e+04,1.64765728609098587e+05,3.50088494875824370e+05,-2.23284217590449378e+05,-2.22698900187232066e+05,-2.04446111760978383e+05,9.56588281228980632e+04,2.13961176716697521e-10
4.30994279754563322e+04,3.73929496154904657e+05,1.92837199720770906e+05,-1.54588072663296422e+05,-2.73606032090116234e+05,-5.42890049376445008e+05,3.61218030278725433e+05,2.24707028116050011e-11
4.94983482369846373e+05,3.92497719653978711e+04,5.52941355930648861e+04,-3.87475376321350748e+05,-2.31010112385329528e+05,-7.06416582498766074e+04,9.95997570282475790e+04,1.38719715097600214e-10
2.87695510098644707e+05,7.90373949509298691e+04,3.37220624717953731e+05,-1.03256313643820351e+05,-7.12742945500264177e+05,-1.54482181703876471e+05,2.66527911080432183e+05,5.01088160786062533e-11
1.10122811145773376e+05,4.95136914319173316e+05,1.25818502856115578e+05,-3.61710031957437808e+05,-2.56588362065210356e+05,-2.21900843632793898e+05,1.09121009334379953e+05,6.61264065473562310e-11
5.72920308196205006e+04,5.12939722237394657e+05,1.03245499138933112e+05,-5.69007723906427738e+05,-5.83105040118382021e+04,-2.04369083414689754e+05,1.58210059137007280e+05,3.56707159694812983e-11
3.20098364515591238e+05,1.52674676402114070e+05,4.59344077313733578e+04,-2.61140353486587032e+05,-2.93418658667899901e+05,-8.26258030896898708e+04,1.18477366595097628e+05,1.22695719611664589e-10
2.80003888028863003e+05,1.55116725897240452e+05,1.34367094833841285e+05,-1.57426823403361748e+05,-4.20916779738915735e+05,-9.67879939503647620e+04,1.05643888332697636e+05,2.50454620020351438e-10
1.17615162963465045e+05,2.86541589962080587e+05,7.91746276335346338e+04,-1.16084400446488187e+05,-8.10779949055906618e+04,-5.19259752700026322e+05,2.33090767493025109e+05,2.18370563222772831e-10
2.74596095871822210e+05,6.98098530457449961e+04,1.51788022611852386e+05,-4.67226156634218467e+05,-3.60703735844396113e+05,-5.18150240113254986e+04,3.83550944960519904e+05,1.50871548069359922e-11
1.86544982496414392e+05,1.92067262456044118e+04,9.12073991558297421e+04,-2.40296122587605380e+05,-1.37913950816378783e+05,-8.76038478450831317e+04,1.68854813351218821e+05,4.33790064826470989e-10
1.82336918979826529e+05,3.72896032925947453e+05,6.31213028347557411e+04,-1.24947543524201668e+05,-1.96356922832216835e+05,-4.00870987950184150e+05,1.03821199566072930e+05,3.54920588821558425e-10
2.22928842929604114e+05,1.61319282595976721e+05,7.30100874756978883e+04,-2.21796127274246624e+05,-4.71108939197143947e+05,-9.93857388623358274e+04,3.35032592332447995e+05,4.31105538116821394e-11
5.94647499239781755e+04,1.10391591687745386e+05,1.31379688782056764e+05,-2.61955923000027396e+04,-2.18002985531788261e+05,-2.11079405640667683e+05,1.54041953078678285e+05,3.35793685998257023e-09
2.83438794159851677e+05,3.06281761139005248e+05,1.07226922445333621e+05,-2.31566942026592180e+05,-5.04758484602890676e+05,-2.31232327433733852e+05,2.70610276319026307e+05,2.13837343219552430e-11
2.77684438411434821e+04,3.94954880110371087e+04,4.01505060883842409e+05,-3.95450416730730503e+04,-4.66811255268027715e+05,-2.79403366026980570e+05,3.16990670232058153e+05,6.32694870412099308e-10
6.51044897750715318e+04,2.45482260040660825e+05,2.87252479965455481e+05,-2.43766923068670381e+05,-4.41007319706850743e+05,-2.11096487299239845e+05,2.98031500293573132e+05,3.39209862527138535e-11
1.21261369164134696e+05,1.99380033506651729e+05,1.46085064928944950e+05,-2.66918257869257592e+05,-4.32773881798587623e+05,-1.22495637820095959e+05,3.55461309888209798e+05,3.21172089065920761e-11
6.55025048130652285e+04,2.93689677424782130e+05,2.82494119320120313e+05,-3.50163284049130627e+05,-1.63226961784830317e+05,-4.30821738703156414e+05,3.02525682979149453e+05,9.47497364977957015e-12
2.14343797070050990e+05,8.39861369026215398e+04,3.34545635547006503e+05,-2.81058435514817189e+05,-4.13483233238570683e+05,-7.01535199313466583e+04,1.31819619165055221e+05,6.01398663713502108e-11
5.24299091424374637e+04,1.72093765084352955e+05,1.01390684813470391e+05,-1.65804712285398040e+05,-1.26076061111823365e+05,-3.75132108870195225e+05,3.41098523227156664e+05,7.19784998347186700e-11
8.25434304309225699e+04,1.73305087118814146e+05,2.97707098703458440e+05,-1.48063513877041609e+05,-1.24918219595113886e+05,-5.65560893429701333e+05,2.84987010648661410e+05,5.18152489523245334e-11
2.22527933555426134e+05,2.38030212902988715e+05,3.72259351648810261e+04,-5.59744883470120607e+05,-1.40641036245698167e+05,-1.00098215264527229e+05,3.02700053357049706e+05,1.47180335991195512e-11
8.42189143618792732e+04,1.58485544450458488e+05,5.29516654589335667e+04,-7.25209933832434035e+04,-2.41377350664936705e+05,-3.33462084309749305e+05,3.51704304086658056e+05,1.61071670635028896e-10
3.48585050563968078e+05,4.68861149224268302e+04,1.95706208577758167e+05,-5.41448197891624222e+04,-5.34405239584420226e+05,-1.18614816765613912e+05,1.15987502075043347e+05,7.40317106590058490e-10
3.61248010292004736e+05,8.81843594868197397e+04,6.90658884910284251e+04,-3.72962866685189889e+05,-2.82423866677058395e+05,-2.62618122697912855e+05,3.99506597790308122e+05,1.02184994543128416e-11
3.98073782305711647e+04,5.72356406521173078e+05,8.51130488457476604e+04,-5.84776736943828641e+05,-1.32360779333267448e+05,-1.28565673164591673e+05,1.48426355844195699e+05,7.67916033372072742e-11
7.68675380523466738e+04,2.41562508404364227e+05,3.82294945414993621e+05,-7.13120001021796925e+04,-2.58099323776907433e+05,-6.24606540855579427e+05,2.53292872862962366e+05,6.95246379307037049e-11
1.65707895268243185e+05,1.28194132456735242e+05,1.56268385434460419e+05,-2.92858462979389704e+05,-1.75442719923257537e+05,-1.37031135307029239e+05,1.55161905050237518e+05,6.38328483570663314e-11
2.77534721353472385e+05,1.68205567305290839e+05,1.57703026587558852e+05,-2.85178520944021817e+05,-2.96154508498291718e+05,-3.98823776523321401e+05,3.76713490719312918e+05,7.55006944963882625e-12
8.82199119552272314e+04,9.90867415785600315e+04,5.18078542476490256e+05,-2.01466786653370800e+05,-6.59733573189027724e+05,-6.82508243436755729e+04,2.24065988175796811e+05,1.17242697424257912e-10
1.31424682685863663e+05,5.57292372403271147e+04,1.39973320122349018e+05,-1.81482312845943146e+05,-7.64021605925932963e+04,-2.00731245152255404e+05,1.31488478542252153e+05,5.37530096886134351e-10
1.26765930861761124e+05,3.02864504082688014e+05,5.59847231990307046e+04,-4.39339811080704385e+05,-1.62902793741791102e+05,-9.57492856997451454e+04,2.12376732378760440e+05,4.17779565776373659e-11
9.71270593763404613e+04,3.05575974987890047e+05,1.76602096339534590e+05,-3.16838885532785964e+05,-1.31015184893131038e+05,-4.70775661708014959e+05,3.39324601430166862e+05,1.05967609681143995e-11
7.92580403760352929e+04,5.97866128779208229e+04,3.78151001118618587e+05,-6.67594697122044163e+04,-2.61193837005838228e+05,-4.42837432572365389e+05,2.53595084917832690e+05,2.38032827489353654e-10
1.26007283979004598e+05,3.18802899984959629e+05,3.34727401519177365e+04,-1.27037058140994763e+05,-1.82053152971573378e+05,-2.92335735914774879e+05,1.23143022911460954e+05,4.41330627391242312e-10
2.87871370626107964e+05,1.99575304668846191e+05,2.34647998975299328e+05,-6.15862382905242266e+05,-3.03263937491550576e+05,-6.29134233899691171e+04,2.59945069516508374e+05,9.19164045788699393e-12
2.92802114559539943e+05,2.07150879742123652e+05,1.00204316320990911e+05,-2.69461227405109326e+05,-3.93221523641451378e+05,-2.82966415666176355e+05,3.45491856090082205e+05,9.75381234245648820e-12
2.93979013487323478e+05,1.44188040468592662e+05,4.28562985756154812e+04,-3.67460866760190693e+04,-3.74483508548543439e+05,-2.15567263962968049e+05,1.45773506655998819e+05,1.71680008023568201e-09
2.78145729671368434e+05,7.20196323414988001e+04,1.18173320367817360e+05,-3.26980227082772064e+05,-8.78455836393333593e+04,-2.54462737438298645e+05,2.00949865779719723e+05,1.15525772947110728e-10
2.13484035468237358e+05,9.07121600147399586e+04,4.08391356468380196e+05,-1.11443637177703771e+05,-3.50295369837580482e+05,-3.52041014687034767e+05,1.01192469750961885e+05,1.62423991160805543e-10
1.63851857563455822e+05,3.02895826487075712e+05,4.67776683282931335e+04,-4.04580573960311827e+05,-1.63201698239723919e+05,-1.52835779334224062e+05,2.07092699155435286e+05,2.96040885615003855e-11
5.74252739100418112e+04,2.24676035865394748e+05,2.05087587481552619e+05,-1.24712480175632183e+05,-2.13538472886373667e+05,-4.77286107798764948e+05,3.28348163603781490e+05,5.01684046296529285e-11
1.03091287984205119e+05,7.03807887658143300e+04,1.82674164389670652e+05,-9.78524066586239787e+04,-2.17230254952705465e+05,-3.36870047457452747e+05,2.95806467929093575e+05,1.70149162053587729e-10
2.14195506435766874e+05,5.55237243022203329e+04,4.20365836435778823e+05,-1.38743327100666007e+05,-1.92645033089291188e+05,-4.58344734521789476e+05,9.96480275379807717e+04,3.90081337145980009e-10
3.14890407229110860e+04,4.41947703044101887e+05,3.33580402914615988e+04,-4.52069309832461644e+05,-5.16094356520716101e+04,-1.11597622750890470e+05,1.08481584176949633e+05,2.72230221918827563e-10
2.19420562349375512e+05,2.63039665287073178e+05,5.05591974329660006e+04,-2.24921177157090366e+05,-2.22307208661030279e+05,-4.22611784464748634e+05,3.36820745213455346e+05,2.06796430371049932e-11
1.10730847604933748e+05,9.06657286387159838e+04,3.75765046013387968e+05,-1.80558474291378952e+05,-1.47876815158761776e+05,-3.75348849051847996e+05,1.26622516244951039e+05,1.44807254205052562e-10
1.90591252551002020e+05,8.97900674656573392e+04,6.15026309928632400e+04,-2.37250292472251982e+05,-1.60758311651209166e+05,-2.09089031377407955e+05,2.65213684491346532e+05,7.28480426379383934e-11
1.09143081972333108e+05,5.43818513439865317e+05,5.41506203230943938e+04,-4.90548283293281216e+05,-1.90157613991181133e+05,-2.30842777072052442e+05,2.04436458621222060e+05,1.77753686974251880e-11
2.47411525541825322e+04,1.98238712122846599e+05,2.25719595193835703e+05,-3.98835352174076543e+04,-1.78936843836808112e+05,-4.83475601945997041e+05,2.53596521129347995e+05,5.94268269800562415e-10
3.49283908367168100e+05,1.84828785710064054e+05,1.38399187357317773e+05,-1.41377340745090914e+05,-4.54781025708407920e+05,-3.87817939494542079e+05,3.11464424513490871e+05,2.05536548561010751e-11
4.03972674993396911e+05,2.88582908901369956e+05,4.14109879781397758e+04,-3.95941282613586402e+05,-2.09415373070637579e+05,-2.96258745378638210e+05,1.67648829189955839e+05,2.26486361807568856e-11
6.39248939759016721e+04,1.82299921001272131e+05,3.42410382108152320e+05,-2.76224709285718855e+05,-1.71954925637316366e+05,-2.69518330433613562e+05,1.29062768271322551e+05,6.43441251019598372e-11
4.90396863399038499e+05,6.87038172053419403e+04,1.14533538940739119e+05,-6.08240073906839127e+05,-6.99790956574392185e+04,-2.18144425936499465e+05,2.22729375955658208e+05,4.84639196033958809e-11
5.90468330472335801e+04,7.79392205807259306e+04,2.55009645070845669e+05,-1.80475178235058789e+05,-3.75721574784087541e+05,-3.20101983703943479e+04,1.96211252690735506e+05,5.53973099884465778e-10
6.45035584841383679e+04,3.32102760417383164e+05,1.50336560175484163e+05,-2.37001562062995828e+05,-1.94768452206131798e+05,-3.14392137662198103e+05,1.99219272854320239e+05,5.11499721224999646e-11
1.11073741220935422e+05,1.58304197676344484e+05,4.57803170508261537e+04,-2.97422408103565918e+05,-9.90606984786908142e+04,-5.06709181868140076e+04,1.31995768820964469e+05,2.73372676554324207e-10
6.41212232782519422e+04,2.93416871907815977e+05,1.63394376463072549e+05,-1.27352123999245581e+05,-2.97725433058259718e+05,-3.71885744037948141e+05,2.76030829446313146e+05,7.43887840124085981e-11
1.22022653509754920e+05,1.81169428350904287e+05,2.70631537868898944e+05,-2.29567682661809551e+05,-3.57842444562151039e+05,-7.92282919317084306e+04,9.28147994261106505e+04,2.12334548185807920e-10
2.46683634926206840e+05,3.36381407771380735e+05,1.60471836158322083e+05,-4.35638401325897605e+05,-1.12973068136195929e+05,-2.85812840508779394e+05,9.08874311149635469e+04,3.12616239225053881e-11
5.07465009780292225e+05,3.77728746521287976e+04,6.90805532914350915e+04,-1.05086324324485817e+05,-6.36930980282147997e+05,-5.78584379635684600e+04,1.85557304846346145e+05,2.00065001602694616e-10
3.12248618433773809e+04,5.73269951378190890e+04,3.26647160987261450e+05,-6.08178048874884844e+04,-1.36147993760503712e+05,-3.59590474815546186e+05,1.41357255495080608e+05,1.31678006468104252e-09
2.38222166020546225e+05,2.75969345388032845e+05,4.67307445363454171e+04,-1.74965571689350472e+05,-4.05682837711943721e+05,-3.38539452157566033e+05,3.58265605613936088e+05,2.19486174971518289e-11
2.39846413929950097e+05,2.72246940787494532e+05,1.00794568601838691e+05,-5.12091370273377921e+05,-1.29987285348848556e+05,-1.30961518883068566e+05,1.60152251186011650e+05,2.24455573982705512e-11
4.50119238240830018e+04,3.37084991068424948e+05,1.30275145134797320e+05,-5.86283439306474174e+05,-1.69294633591366495e+05,-8.97377469427218020e+04,3.32943759813256795e+05,3.18669972007775439e-11
1.27274021815106593e+05,1.82443113736450323e+05,3.84744882910418499e+05,-2.42025951796373411e+05,-6.18160156609188707e+04,-4.77267400060145184e+05,8.66473490554622258e+04,1.42735540370982233e-10
2.98437367742609524e+05,3.41710973435384047e+05,3.44280225863364467e+04,-7.53659687272437441e+04,-3.68091296661967353e+05,-5.14772122748783499e+05,2.83653024373664521e+05,1.15306629596820234e-10
9.14649890406229097e+04,5.66009734025225334e+04,4.15253260472214315e+05,-1.54821616448760265e+05,-3.12832166246207489e+05,-4.89749270599766518e+05,3.94083830379374558e+05,2.85367962495075266e-11
4.69126870886427641e+04,6.20832427895013025e+04,3.70037175326558412e+05,-6.24799593501783384e+04,-6.62882158036771812e+05,-5.55129215902796568e+04,3.01841933772527322e+05,1.15102096394160470e-09
1.31942014144943561e+05,1.06315461877746580e+05,1.84456446688271681e+05,-1.19559325512492331e+05,-1.37733273806891491e+05,-5.36724474357150146e+05,3.71303150965571986e+05,9.70418227479189515e-11
5.51470472129668779e+04,4.66231024137749744e+05,5.79196520592455345e+04,-4.16669681373154279e+05,-3.73667422729924729e+04,-2.21139504637414706e+05,9.58782048735993158e+04,1.33686915887102263e-10
1.70776153468541772e+05,1.66973825903315563e+05,3.47517877493739943e+05,-5.29259598818022059e+04,-5.60370519003599067e+05,-2.62532234579874144e+05,1.90560856599678315e+05,1.93065008752332605e-10
1.56155018134893180e+05,2.52960016307571321e+05,1.77668419708793663e+05,-1.45836352406008053e+05,-8.84039925733487325e+04,-6.08258069883174845e+05,2.55714960711273132e+05,1.02403996429471550e-10
1.28482780399714102e+05,3.05433320915811288e+05,2.99755901282865554e+05,-4.91685046029903344e+05,-2.04487684628991992e+05,-1.73594950007280888e+05,1.36095678067785338e+05,2.01984800978228996e-11
1.60681958762726979e+05,3.29440606120030337e+05,1.09864940129763025e+05,-4.42483024627796956e+05,-2.67827984895187023e+05,-7.11385903008910245e+04,1.81462094811354938e+05,4.63942245000549687e-11
1.55391088958332606e+05,9.02335485447000829e+04,3.80543168599034427e+05,-2.80805606151550775e+05,-3.30835650718860328e+05,-2.24621743007515732e+05,2.10095193775859574e+05,2.39635246845213274e-11
1.16391898909973388e+05,3.43345698390440259e+05,1.51827832950149488e+05,-3.87528486779361963e+05,-5.24867359497162397e+04,-4.15603490461112408e+05,2.44053282939626952e+05,2.25493696308479499e-11
4.26949176047694637e+04,4.01460112143253617e+05,2.08582898999847588e+05,-1.83071979475744942e+05,-2.49420124649959063e+05,-4.49068340779148450e+05,2.28822516156981525e+05,4.74995077264331196e-11
3.47906952996905602e+05,3.38486586445623601e+05,5.73356233270271769e+04,-8.66565096973143867e+05,-4.91566859333644679e+04,-5.62787721496333688e+04,2.28271392286585644e+05,1.61869735343758932e-11
1.58860360174812376e+05,2.98049450641908974e+05,2.44971194473157288e+05,-5.11218202519015642e+05,-2.00570661303350702e+05,-1.06403788790711507e+05,1.16311647323199213e+05,3.15571657486988054e-11
3.43503800045185955e+05,3.02591162935505272e+04,2.09557771978590492e+05,-9.58946150563442352e+04,-6.71103296368138981e+05,-1.61379744316430675e+05,3.45056967423587164e+05,5.90754186603424019e-11
2.26549750968947919e+05,5.30470128102056624e+04,2.16529417933724762e+05,-2.60139341114888899e+05,-3.16441303850108234e+05,-5.46914955389161187e+04,1.35145958791034966e+05,1.05256752590697888e-10
1.62259949768478167e+05,2.88983741264125601e+04,8.25315042574543913e+04,-1.30902749895758927e+05,-1.06989537312871340e+05,-1.24860263092700188e+05,8.90627221489859221e+04,2.37602158682833484e-09
1.33677250717878458e+05,3.22586287948105310e+04,2.05110947035922698e+05,-1.89688444698329578e+05,-7.43267369821069296e+04,-3.19903133872631588e+05,2.12871489004456409e+05,4.73963992788634165e-10
1.39701914818359917e+05,3.95896795112547697e+05,4.46962667808298138e+04,-1.14193074746463943e+05,-2.24663463706545910e+05,-4.17402179361271847e+05,1.75963741102544183e+05,1.79915407472311162e-10
3.30713502687209344e+05,1.38070880929233623e+05,1.73434540858067194e+05,-4.78902296012460647e+04,-6.01441579045769759e+05,-2.43515308007092157e+05,2.50628192179597972e+05,1.77237663520628772e-10
1.17777080144501204e+05,1.18473358414251852e+05,4.88415908330871258e+05,-2.37660791863107966e+05,-3.57695389640402398e+05,-3.61056031852096377e+05,2.31745866465982050e+05,1.71494801417144572e-11
5.50243553623854823e+04,7.67582366621922265e+04,3.64812263015079137e+05,-1.26603231746423524e+05,-6.93755922627510881e+04,-4.59124850487443386e+05,1.58508819456961093e+05,4.12901252198259130e-10
2.39592448082596384e+04,1.01092361509148221e+05,1.34302043170291145e+05,-1.59743696263888676e+05,-2.67767854621139879e+05,-3.70347363998877263e+04,2.05192637797217147e+05,1.77517621035883854e-09
2.43796835533200792e+05,1.20429931175198435e+05,9.01308463392575795e+04,-1.89085032884569315e+05,-4.03835462342576589e+05,-2.58752093580737186e+05,3.97314975760226429e+05,1.95720570444483967e-11
6.50611601734241340e+04,3.33724839586828952e+05,7.37312571958771441e+04,-2.03246088368365658e+05,-1.17372202651527856e+05,-3.90510960593302094e+05,2.38611994657065399e+05,5.88740228131530845e-11
3.19471210318938131e+05,1.40036873781575414e+05,9.79126654215541785e+04,-5.49705196636564098e+05,-8.38804545930329768e+04,-8.87794259849758964e+04,1.64944327692505263e+05,3.91931731308808580e-11
5.77499745670381089e+04,2.94855890568372211e+05,6.37178762861853174e+04,-1.44834017924759246e+05,-1.35854392040475621e+05,-4.30500670517656836e+05,2.94865339061296079e+05,7.56438276520763278e-11
1.47777366123334592e+05,1.16036353022547904e+05,2.45491338840291020e+05,-1.31782010900202848e+05,-5.16151857053307293e+05,-4.26255413228639518e+04,1.81254351290200691e+05,4.06703882196385764e-10
1.86136816940600751e+05,7.30265304740055872e+04,4.11725364712771552e+04,-2.42707890023088476e+04,-2.67625558336101705e+05,-1.17987798862639960e+05,1.09548262315167274e+05,8.28189727760247323e-09
4.03819093859540444e+04,2.79507936891511490e+04,4.43359113998875138e+05,-8.91333831609552726e+04,-5.01582474577540124e+05,-2.75653182561211404e+05,3.54677223225726571e+05,1.45869896501849703e-10
1.27341986207978363e+05,9.00103292034736951e+04,5.30728944610330975e+05,-1.26093645900287869e+05,-6.40639855534804170e+05,-1.65467585208094446e+05,1.84119826621403481e+05,9.14677359417011702e-11
3.57841997719921346e+04,2.17717576009549404e+05,1.91893670648234838e+05,-1.26599519622628519e+05,-2.14182881513652683e+05,-3.99822672156914661e+05,2.95209626863419020e+05,9.78078706318260726e-11
5.07188530055236770e+04,3.39674515329067479e+05,1.36590678843443457e+05,-1.56926040884061047e+05,-1.73638801239558088e+05,-3.06761256418008299e+05,1.10342051363592647e+05,2.99738257688764305e-10
2.66053690567519807e+05,5.31615749962385453e+04,2.23010326492145658e+05,-2.40663856087530643e+05,-2.30112748912694777e+05,-4.40169908060241723e+05,3.68720921004563337e+05,3.22532815126496491e-11
2.91030572126977146e+05,7.88876503138963599e+04,3.67770267281568493e+05,-1.79592953674266115e+05,-5.54605887890373822e+05,-2.32893185603882652e+05,2.29403537446080823e+05,2.08805938799507028e-11
4.21015541409849888e+05,1.76967865309102286e+05,4.62259824766636302e+04,-3.28652781169534544e+05,-3.60409574956353521e+05,-2.65004090054050670e+05,3.09857056984323193e+05,1.02597503422471124e-11
1.31179612991914968e+05,1.52638337458010763e+05,2.93934149684255826e+05,-3.98881242544058943e+05,-4.31124919853881933e+05,-6.54236730866267098e+04,3.17677735350386240e+05,2.36692671687012541e-11
